#! FIELDS phi metad.bias der_phi
#! SET min_phi -pi
#! SET max_phi pi
#! SET nbins_phi  57
#! SET periodic_phi true
   -3.141592654  108.526196016   49.076584088
   -3.031361332  113.401875080   39.193171750
   -2.921130011  117.122422019   28.284336185
   -2.810898690  119.629023211   17.407329421
   -2.700667369  120.993334644    7.650598531
   -2.590436048  121.393651900   -0.135373109
   -2.480204727  121.065691052   -5.407034113
   -2.369973405  120.314143723   -7.887138828
   -2.259742084  119.442543092   -7.650340162
   -2.149510763  118.727369105   -5.178930122
   -2.039279442  118.365386495   -1.352739215
   -1.929048121  118.459219048    2.845290020
   -1.818816799  118.986313388    6.308348621
   -1.708585478  119.798762397    8.015633181
   -1.598354157  120.669863393    7.334833012
   -1.488122836  121.312814418    3.979893749
   -1.377891515  121.443329943   -1.847933802
   -1.267660194  120.821538672   -9.464003574
   -1.157428872  119.311368676  -17.980204771
   -1.047197551  116.866109415  -26.218159164
   -0.936966230  113.581453196  -33.217008241
   -0.826734909  109.646839359  -38.064689290
   -0.716503588  105.311833004  -40.289075823
   -0.606272266  100.875554269  -39.678540860
   -0.496040945   96.653011855  -36.395163022
   -0.385809624   92.933087676  -30.638302480
   -0.275578303   89.966424908  -22.821994108
   -0.165346982   87.950224777  -13.434697989
   -0.055115661   87.028869792   -2.975935474
    0.055115661   87.290422094    7.942341350
    0.165346982   88.751597887   18.591818428
    0.275578303   91.331151716   28.156271723
    0.385809624   94.859071898   35.677967172
    0.496040945   99.056919601   40.200982596
    0.606272266  103.545948754   40.839753005
    0.716503588  107.864193791   37.007650030
    0.826734909  111.509072395   28.547656947
    0.936966230  113.985906757   15.903433030
    1.047197551  114.885129337    0.063183440
    1.157428872  113.944782555  -17.402519935
    1.267660194  111.074291953  -34.541491780
    1.377891515  106.419828921  -49.449191704
    1.488122836  100.329553450  -60.359998981
    1.598354157   93.322290172  -65.956793276
    1.708585478   86.038828263  -65.499156852
    1.818816799   79.131639070  -59.057693302
    1.929048121   73.228081628  -47.341987540
    2.039279442   68.861133292  -31.505789391
    2.149510763   66.383931825  -13.192650627
    2.259742084   65.983025956    5.841879387
    2.369973405   67.646169587   23.949552306
    2.480204727   71.178958639   39.595299731
    2.590436048   76.244942068   51.642307231
    2.700667369   82.417448066   59.458766609
    2.810898690   89.200459897   62.760974002
    2.921130011   96.095991012   61.718325552
    3.031361332  102.667413409   56.872723407
