#! FIELDS phi file.free der_phi
#! SET min_phi -pi
#! SET max_phi pi
#! SET nbins_phi  32
#! SET periodic_phi true
   -3.141592654 -120.650788276  -54.525664267
   -2.945243113 -129.394396350  -34.056312321
   -2.748893572 -133.959961233  -13.051117689
   -2.552544031 -134.860627000    2.474152596
   -2.356194490 -133.584305565    8.819400764
   -2.159844949 -131.997783023    6.022676144
   -1.963495408 -131.553392295   -1.839130271
   -1.767145868 -132.623730232   -8.262108009
   -1.570796327 -134.319537144   -7.517655869
   -1.374446786 -134.967750085    2.275094395
   -1.178097245 -133.014578736   18.108469636
   -0.981747704 -127.851274887   33.842893281
   -0.785398163 -120.112583002   43.484497255
   -0.589048623 -111.375846447   43.742181734
   -0.392699082 -103.533652208   34.560048007
   -0.196349541  -98.258889207   18.062761277
    0.000000000  -96.698050241   -2.671157749
    0.196349541  -99.316266459  -23.745666383
    0.392699082 -105.697066028  -40.011461481
    0.589048623 -114.310555490  -45.545721459
    0.785398163 -122.555958816  -35.810085316
    0.981747704 -127.341697398  -10.879434970
    1.178097245 -126.211974481   22.910267495
    1.374446786 -118.478392411   54.398823568
    1.570796327 -105.744698190   72.203415169
    1.767145868  -91.459941505   69.680458851
    1.963495408  -79.676225783   47.436627477
    2.159844949  -73.650378090   12.637625734
    2.356194490  -74.841350635  -24.266981281
    2.552544031  -82.653515799  -53.377845868
    2.748893572  -94.864364166  -68.404598601
    2.945243113 -108.479222367  -67.843579821
