#! FIELDS phi file.free der_phi
#! SET min_phi -pi
#! SET max_phi pi
#! SET nbins_phi  32
#! SET periodic_phi true
   -3.141592654   15.388253565  -54.423809042
   -2.945243113    6.579114853  -34.598930885
   -2.748893572    1.931794283  -13.209214304
   -2.552544031    1.058684708    2.899763533
   -2.356194490    2.432709540    9.286211064
   -2.159844949    4.057154280    5.865844403
   -1.963495408    4.382795562   -2.880929985
   -1.767145868    3.037316743   -9.951237320
   -1.570796327    0.985702839   -9.352134447
   -1.374446786    0.000000000    0.766153842
   -1.178097245    1.712197816   17.229470631
   -0.981747704    6.774087913   33.715651113
   -0.785398163   14.557131324   44.047125116
   -0.589048623   23.451297902   44.734321511
   -0.392699082   31.495172296   35.558587553
   -0.196349541   36.925556216   18.597479310
    0.000000000   38.513592655   -2.929720526
    0.196349541   35.761269020  -24.795441435
    0.392699082   29.126916325  -41.434712247
    0.589048623   20.249526210  -46.694214066
    0.785398163   11.843201784  -36.255263423
    0.981747704    7.025543687  -10.836193320
    1.178097245    8.144315477   22.604863869
    1.374446786   15.708406596   52.896964847
    1.570796327   28.015395781   69.469275328
    1.767145868   41.725228335   66.847454546
    1.963495408   53.084544766   46.246729462
    2.159844949   59.144525879   14.282572488
    2.356194490   58.544294123  -20.054739751
    2.552544031   51.681015494  -48.250648305
    2.748893572   40.398851491  -64.338035378
    2.945243113   27.376913766  -65.917575352
