#! FIELDS phi metad.bias der_phi
#! SET min_phi -pi
#! SET max_phi pi
#! SET nbins_phi  63
#! SET periodic_phi true
   -3.141592654   23.619189752   35.545041618
   -3.041859553   27.055592773   32.861443820
   -2.942126453   30.132076458   28.272109521
   -2.842393353   32.666226108   22.159261293
   -2.742660253   34.540779986   15.220482679
   -2.642927153   35.716050614    8.311774397
   -2.543194053   36.236000451    2.287674663
   -2.443460953   36.230794718   -2.094779711
   -2.343727853   35.891646248   -4.351838095
   -2.243994753   35.438454799   -4.374097702
   -2.144261652   35.084793735   -2.434259673
   -2.044528552   34.997328996    0.833428522
   -1.944795452   35.265902195    4.545082401
   -1.845062352   35.886037019    7.721502835
   -1.745329252   36.758073770    9.461999372
   -1.645596152   37.703251751    9.104972803
   -1.545863052   38.493858875    6.344910793
   -1.446129952   38.891918458    1.283921563
   -1.346396852   38.687069445   -5.574929712
   -1.246663751   37.737764250  -13.468280064
   -1.146930651   35.986406824  -21.460650379
   -1.047197551   33.470313177  -28.631377891
   -0.947464451   30.312288344  -34.215560213
   -0.847731351   26.698754647  -37.711092449
   -0.747998251   22.860720652  -38.858863045
   -0.648265151   19.022877067  -37.761625767
   -0.548532051   15.392586397  -34.813531481
   -0.448798951   12.120869264  -30.456167182
   -0.349065850    9.337516257  -25.248587717
   -0.249332750    7.097857825  -19.588711568
   -0.149599650    5.427018463  -13.862525816
   -0.049866550    4.321201488   -8.361781836
    0.049866550    3.741758037   -3.189783108
    0.149599650    3.654222532    1.473004498
    0.249332750    4.003706522    5.513852774
    0.349065850    4.716243144    8.839003734
    0.448798951    5.718347829   11.200286812
    0.548532051    6.894573801   12.499400253
    0.648265151    8.142255815   12.456628493
    0.747998251    9.318822693   11.089643055
    0.847731351   10.297468476    8.458172288
    0.947464451   10.963515106    4.825048224
    1.047197551   11.235265381    0.604305123
    1.146930651   11.078783675   -3.713047710
    1.246663751   10.507837532   -7.608458094
    1.346396852    9.587549249  -10.680179503
    1.446129952    8.421900069  -12.601639484
    1.545863052    7.122831145  -13.320619680
    1.645596152    5.819161791  -12.840816456
    1.745329252    4.613790884  -11.375464042
    1.845062352    3.591155523   -9.169300470
    1.944795452    2.819372579   -6.405991847
    2.044528552    2.345344210   -3.229529601
    2.144261652    2.202595390    0.278335050
    2.243994753    2.424084384    4.120461164
    2.343727853    3.045843392    8.332706972
    2.443460953    4.104168773   12.913236194
    2.543194053    5.632989766   17.782421168
    2.642927153    7.658686506   22.779344030
    2.742660253   10.169031926   27.584926423
    2.842393353   13.135245548   31.743044371
    2.942126453   16.459886387   34.780749850
    3.041859553   20.018069301   36.126144528
